Content,Reactions,Comments,Reposts,Poster,Location
Additional ignitions began later that day to extend the line towards Highway 3 to remove vegetation and reduce the chance of the blaze reaching Behchokǫ̀.,1.0,1 comment,1 comment,100.1 True North FM,
BREAKING NEWS: Evacuating Yellowknife: Residents share their stories of getting out ahead of the wildfire - CBC,,,,Spyrokid,
Canada on knife edge as wildfire bears down on Yellowknife city,8.0,1 comment,1 comment,Peoples Gazette,
https://www.animals24-7.org/.../animals-their-humans.../,1.0,,,Yellowknife current events,
Special Notice to Returning Tłı̨chǫ wildfire evacuees landing at Yellowknife Airport (YZF) -  A special Information Desk has been set up in the luggage pickup area. Please come to the desk to learn more about Tłı̨chǫ supports and transportation services.,3.0,,,Tlicho,
"At yesterday's Governance and Priorities Council Meeting, City Manager Sheila Bassi-Kellett presented an update on the 2023 Wildfire Season, including what work is currently being done around the city like fire breaks, fire smarting and sprinklers, emergency communications, an overview of the Evacuation Framework, and what residents can do. For more information, please watch this video on the City's Webcast (here: https://yellowknifent.new.swagit.com/videos/269106).",2.0,3 comments,3 comments,City of Yellowknife,
"Satellite images taken between Aug. 13 and Aug. 17 show wildfire smoke billowing over Yellowknife, N.W.T. and Kelowna, B.C.#canada #yellowknife #wildfire #canadianwildfire #candawildfire #brazil #amazon #climatechange #ukraine #russia #ukrainewar #russiaukrainewar #donetsk #shelling #News #Reuters #newsfeed #greece #italy #heatwave #environment #viral #reel #viralreel #viralvideo #fyp #foryou #foryoupage #bbc #usnews #newsupdate",1.0,,,YRK News,
"Satellite images taken between Aug. 13 and Aug. 17 show wildfire smoke billowing over Yellowknife, N.W.T. and Kelowna, B.C.#canada #yellowknife #wildfire #can… See more",,,,YRK News,
"Wishing The Quilted Raven, in Yellowknife, and any other Alberta Country Register advertiser who is evacuating from wildfire a safe journey. You are in our thoughts.",22.0,,,Alberta Country Register,
"Maybe it was the rain dancing, maybe it was some prayers being answered. But Yellowknife got some unexpected rain on Sunday evening, which helped to keep the nearby wildfire from hitting the outskirts of the city.",3.0,,,Yellowknifer,
Wildfire evacuation delays opening of Yellowknife aquatic centre - Yahoo News Canada,,,,Robin's Special World News Reports - Flying The Web For News,
Equipments and lay flats gone fight that wildfire yellowknife,18.0,7 comments,7 comments,Ian Fowler,
"According to NWT Fire, the blaze located 22km from Highway 3 between Behchokǫ̀ and Yellowknife and 2km west of Awwry Lake continues to grow, with increasing activity expected.",1.0,,,100.1 True North FM,
Thinking of my brother and his family as they drive into the night to escape Yellowknife ahead of a growing wildfire.,207.0,17 comments,17 comments,Marc Doll,
"Hello Canada. The first step to address wildfires is to STOP SETTING YOUR FORESTS ON FIRE!Canada has reports of arson investigations regularly. People have been arrested for arson. The news? ""FACT CHECK - It's not arson. It's climate change!"" Thanks for being worse than useless again, mainstream ""news.""",5.0,,,Tom Kelly,
People Returning to Yellowknife NWT,14.0,,,ERIC SCHWEIG FANS UK AND BEYOND,
"Happy Aurora Season! We had the pleasure of witnessing the magical dance of the Northern Lights alongside our incredible guests after the wildfire evacuation, our business is back to normal! The skies above Yellowknife are painted hues of green, pink, and purple, reminding us of the sheer beauty nature holds. There's no experience quite like watching the Aurora Borealis in its full glory. Every shimmer, every twirl, every heartbeat resonating with the lights - it's moments … See more",252.0,13 comments,13 comments,Yellowknife Tours,
A message from Mayor of #Yellowknife Rebecca Alty about work being done to welcome everyone home when the wildfire is no longer a threat and it is sure everyone can be home safe.,6.0,,,"Ben Hendriksen, Yellowknife City Councillor",
"A quick update about the work that we’re doing around welcoming you home, when the fire is no longer a threat. First and foremost, before welcoming everyone h… See more",,,,Rebecca Alty,
"Had the honor of helping out my home City of Yellowknife, by off loading the rest of the Stanton Hospital patients from the transfer here to BC. I've been following this wildfire closely and you've all done such an amazing job. I am proud to call myself a Northerner.Stay safe and contact me if you need to chat or are in the Surrey area. #… See more",163.0,17 comments,17 comments,Sari Wouters,
"We cannot share the actual link. Due to Bill C18 Trudeau has blocked Canadian news on the internet from being shared. We can only copy and paste. #Trudeau has Isolated Social Interaction. Trudeau is isolating Canadians from the world arena. It’s very dangerous that wild fire news can’t be shared. BBC NEWS POST EXCERPTS....An official deadline to evacuate #Yellowknife as a wildfire loom on its outskirts has lapsed, as residents scramble to leave by air and road.About 22,00… See more",6.0,6 comments,6 comments,Daily Canadian news and the world.,
From my friend who has 42 years of wildland firefighting experience in Canada and the US.,16.0,4 comments,4 comments,James T. Parsons,
"If ever there was any doubt about the effects of global warming and climate change, they are gone. Today West Kelowna, Kelowna, Shushwap and Yellowknife are all… See more",,,,KJ McMullen,
"WILDFIRE UPDATE: September 12, 2023 : A new fire and old fires waking up as fire conditions are closer to what we’d expect in July, not September.   Fire and smoke is visible by the highway from FS010, the Redknife and Sambaa Deh areas. Based on the hard work of crews and the reduced risk to the Town of Fort Smith, the Incident Management Team was able to recommend to Town officials that they can begin the steps needed to lift the evacuation order and return residents t… See more",32.0,8 comments,8 comments,NWT Fire,
"Attention: City staff, first responders and volunteers helping with wildfireSafety:Traffic safety remains a priority even though the streets are quiet. Continue to obey all traffic rules. Slow down, treat blinking lights as a 4-way stop, and don’t text on your phone while driving. If there is an emergency, call 911.… See more",26.0,,,City of Yellowknife,
"Friday Dinner with some of our brothers/sisters in Christ from Yellowknife, who were forced to evacuate due to wildfire. Grateful to God for their safety. ‘Twas a blessed night to share our love and blessings to them.Proverbs 11:25 A generous person will prosper; whoever refreshes others will be refreshed.… See more",20.0,,,JA1 Sherwood Park Canada,
"I spoke with multiple people today at the evacuation centre in Yellowknife, speaking with Walter Naedzo about his house being lost in the wildfire in Behchoko was heartbreaking to hear. I truly hope these families that have lost their homes get all the help and support that's available to them. I also spoke with Alex Black and he and others want to start a prayer circle today at 4:30pm at the multiplex. So, if your in Yellowknife, and want to join and show the people of Beh… See more",25.0,3 comments,3 comments,Lawrence Nayally,
"WILDFIRE UPDATE: September 21 : No new fires in the territory since last update.Crews continue to be active on Highway 3 between Behchoko and Yellowknife. If you’re driving through the area, please be mindful of their safety. Drive slow, follow all direction, and give our crews space to work.Although we are moving into cooler weather in many parts of the territory, human caused fires are still a concern. If you are out on the land and have a fire, please make sure your fi… See more",15.0,,,NWT Fire,
"I’m so thankful we got out before the evacuation order, holy fuck this is heartbreaking.",4.0,2 comments,2 comments,Natasha Sanguez,
"Mayor Rebecca Alty:Today at lunch, City staff will provide an update on wildfire protection work underway. You can join us in Council chambers or watch online: https://www.yellowknife.ca/.../city-government-webcast...The meeting is broadcast live, and will be posted on that web-page after so you can watch it later (if you're busy at noon).… See more",3.0,,,"Garett Cochrane, Yellowknife City Councillor",
"Please be advised that there is a wildfire northeast of Behchoko moving towards Highway 3 (between Yellowknife and Behchoko). Residents and those travelling in the area should be prepared for delays or sudden road closures. Wildfires are unpredictable and the situation can change very quickly. To stay up-to-date on NWT highway closures, please visit the NWT Highway Conditions Map: www.dot.gov.nt.ca/Highways",7.0,,,Government of the Northwest Territories,
"Behchoko/Yellowknife Fire (ZF015) - August 24, 11amSizeLast mapped – 174,103 hectares … See more",84.0,4 comments,4 comments,NWT Fire,
Alberta Wildfire has free water and Fuel (gas) at Steen River for NWT Fire Evacuees (and puzzles and bubbles for the kids).,317.0,23 comments,23 comments,Yellowknife current events,
From The GuardianYellowknife wildfire: communication issues and Facebook news ban hamper evacuation effortsCanada’s ongoing fight with social media company Meta and the resulting ban has led to difficulties with staying on top of information… See more,5.0,3 comments,3 comments,Laurence Stevenson,
